park_name,lat,long,average_visits
Springfield Armory National Historic Site,42.10806,-72.58151,19290
Theodore Roosevelt Inaugural National Historic Site,42.90148,-78.87226,18995
Fossil Butte National Monument,41.85875,-110.76762,18605
Isle Royale National Park,47.9624,-88.89144,17972
Knife River Indian Villages National Historic Site,47.35417,-101.38562,16952
Saint Paul's Church National Historic Site,40.89278,-73.82566,16612
Keweenaw National Historical Park,47.24667,-88.4537,15546
Theodore Roosevelt Birthplace National Historic Site,40.73889,-73.98956,15037
Agate Fossil Beds National Monument,42.42428,-103.75492,14487
Edgar Allan Poe National Historic Site,39.96167,-75.15011,14398
Fort Union Trading Post National Historic Site,47.99944,-104.04032,13491
Lake Clark National Park and Preserve,60.96667,-153.41642,13402
Clara Barton National Historic Site,38.96694,-77.14065,13029
Saint Croix Island International Historic Site,45.12833,-67.13317,12117
Washita Battlefield National Historic Site,36.6175,-99.70012,11710
Minidoka National Historic Site,42.63694,-114.23202,11622
Mary McLeod Bethune Council House National Historic Site,38.90778,-77.03012,11441
First Ladies National Historic Site,40.79667,-81.37511,11191
Gates of the Arctic National Park and Preserve,67.78333,-153.29972,11038
Saugus Iron Works National Historic Site,42.46778,-71.00873,10855
Fort Union National Monument,35.90722,-105.01802,10492
Noatak National Preserve,68,-161.19972,10151
Kobuk Valley National Park,67.34408,-159.13662,9552
Maggie L. Walker National Historic Site,37.54778,-77.4379,9258
Cape Krusenstern National Monument,67.41333,-163.50002,8775
Fort Bowie National Historic Site,32.14611,-109.43542,8493
Thomas Stone National Historic Site,38.53139,-77.03595,6930
Frederick Law Olmsted National Historic Site,42.325,-71.13205,6898
Salt River Bay National Historical Park,17.77889,-64.7587,5767
Sand Creek Massacre National Historic Site,38.54083,-102.52832,5481
Alibates Flint Quarries National Monument,35.57139,-101.66722,4649
Eugene O'Neill National Historic Site,37.82444,-122.02942,3245
Nicodemus National Historic Site,39.39083,-99.61734,3144
Yukon-Charley Rivers National Preserve,65,-142.79972,3017
Thaddeus Kosciuszko National Memorial,39.94333,-75.14732,2366
Bering Land Bridge National Preserve,66.05595,-164.80842,2245
Carter G. Woodson Home National Historic Site,38.90999,-77.02399,1884
Port Chicago Naval Magazine National Memorial,38.05749,-122.02952,929
Aniakchak National Monument and Preserve,56.9,-158.14972,78
